date,open,high,low,close,volume,daily_return,log_return,rsi,rsi_21,rsi_28,macd,signal,histogram,atr,adx,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_60,ema_60,sma_200,ema_200,momentum_5,momentum_10,momentum_20,volatility_20
2019-04-24,45.46,45.74,45.3825,45.41,17540609.0,-0.001758628269949547,-0.0017601764720530674,79.27180140264163,74.49193146813829,70.0390873894684,1.42890793449439,1.3704215882867097,0.05848634620768034,0.7850653863231274,46.27435812649549,44.197,44.309214230317174,43.159,43.251227325766365,40.17505,40.87479575347443,39.40545833333333,40.43958338622205,41.3091125,39.514545219297226,0.04553042076785818,0.04402804920105763,0.12630991504929612,0.007938871771414882
2019-04-25,45.3275,45.56,44.9,44.94,18543206.0,-0.01035014314027749,-0.010404078352676666,72.27885425621449,70.43035135435639,67.37994057879835,1.3909260554051883,1.3745224817104054,0.016403573694782958,0.7761321444429042,46.20774927491573,44.3135,44.423902552077685,43.369125000000004,43.41206281855052,40.347,41.034215527847984,39.61933333333334,40.58713802929673,41.330225,39.56852984398084,0.01210517425820612,0.02661336379211887,0.10316047867444,0.008655758535261534
2019-04-26,44.845,44.87,44.15,44.695,18649102.0,-0.005451713395638547,-0.005466628217367109,68.8683835935537,68.38940248924509,66.02483952013648,1.325773004205331,1.3647725862093907,-0.03899958200405962,0.7771227055541253,44.79152078285062,44.447250000000004,44.47319299715447,43.563874999999996,43.5342473120219,40.5176,41.177775703226494,39.78508333333333,40.721822028336184,41.3504,39.619539497274566,0.002467197487944439,0.030848180822233617,0.0954656862745098,0.008937497073436497
2019-04-29,44.72,45.1125,44.585,44.7725,22204716.0,0.0017339747175300069,0.001732473118941558,69.36087618472092,68.69075154092502,66.24751719146258,1.2658009782885742,1.3449782646252275,-0.07917728633665333,0.759292512300259,43.70494986771098,44.59075,44.52761245221729,43.747125,43.652176139448386,40.68665,41.31874528349212,39.94716666666667,40.854631142161224,41.37405,39.670812736107656,0.0004469024076867445,0.033112200749928045,0.08915647996107756,0.00893157182865658
2019-04-30,44.385,44.47,43.3975,43.7875,46534923.0,-0.022000111675693823,-0.02224572313515223,57.015363270758726,60.938106395653634,60.979716328296874,1.1258137673476583,1.3011453651697138,-0.17533159782205554,0.8032716185645262,40.970440681888775,44.62675,44.393046551814145,43.865,43.665064126167586,40.8379,41.41555919394341,40.092499999999994,40.950790776844464,41.3888375,39.711774798434945,-0.037425807869861494,0.008289678199297601,0.05690321023412981,0.010640756878860881
2019-05-01,46.09,47.4475,45.9275,46.25,64827328.0,0.05623751070510985,0.054713075434828944,70.94067187141046,69.86582117046741,67.64903231341992,1.1997461374953957,1.2808655196348502,-0.08111938213945447,1.007323645809917,40.693331285251205,44.908500000000004,44.7306744514843,44.071250000000006,43.911248495104005,41.03585,41.60514510790642,40.259166666666665,41.124535341538085,41.41556249999999,39.7768317656147,0.018498128165602257,0.06487077649225825,0.09792284866468837,0.0157809600164953
2019-05-02,46.08,46.7825,45.6525,45.9075,31996324.0,-0.007405405405405463,-0.0074329615472367135,67.65762317502711,67.6091608360463,66.02140767389326,1.2166761011439604,1.2680276359366722,-0.05135153479271182,1.01608624253778,40.1203970414172,45.059,44.9446427330326,44.24375,44.10136768604648,41.22145,41.77386490759636,40.407916666666665,41.28135385493028,41.441100000000006,39.837833439588685,0.021528704939919985,0.03389448792297722,0.08125772831655165,0.015992382928474762
2019-05-03,46.3425,46.58,46.1775,46.5575,20892378.0,0.014158906496759771,0.014059605412326311,70.45236807191725,69.56789501148809,67.5576239737535,1.2679269148156962,1.268007491712477,-8.057689678087065e-05,0.9915443680707956,39.58838667214276,45.25625,45.23788950884485,44.444500000000005,44.335285049280145,41.4249,41.9614584406318,40.567249999999994,41.45434225312928,41.4692125,39.90469579342363,0.0416713278890255,0.04424133677245701,0.09437621202327096,0.016141467516962077
2019-05-06,44.6925,45.83,44.495,45.74,32443113.0,-0.017558932502819036,-0.017714919228888733,63.070662483487844,64.42320368460452,63.79572412625461,1.2284177014267073,1.260089533655323,-0.031671832228615804,1.0680411989228817,37.33045956314738,45.355000000000004,45.329182325418515,44.588,44.46906742553918,41.60245,42.10963654099918,40.726708333333335,41.59485562187914,41.49455,39.96275852184728,0.021609246747445354,0.022065806379532038,0.06694658269185916,0.016861623897378063
2019-05-07,45.09,45.475,43.8275,44.335,38763698.0,-0.030717096633143925,-0.031198755762664815,52.82630736709433,56.83800211735763,58.03586146991696,1.0713843553079698,1.2223484979858525,-0.15096414267788272,1.1283596847141046,34.6656420658782,45.2395,45.14842190261515,44.622499999999995,44.456299099297354,41.7456,42.19690569625412,40.861916666666666,41.68469642116179,41.5110125,40.006263412177155,0.012503568369968576,-0.025390195647395086,0.01580937106197733,0.018106846843830182
