entry_date,exit_date,entry_price,exit_price,holding_days,pnl_pct,entry_position,entry_reason,exit_reasons
2019-10-11,2019-10-16,53.0575,52.5975,5,-0.008669839325260442,1.0,score_high,score_percentile_low
2019-10-17,2019-10-21,52.825,54.1325,4,0.024751538097491643,0.5,score_mid,rsi_breach
2020-06-18,2020-06-19,82.5275,82.025,1,-0.006088879464420938,1.0,score_high,entry_score_fail;score_percentile_low
2020-06-24,2020-06-25,84.61,85.805,1,0.014123626048930582,1.0,score_high,rsi_breach
2020-10-01,2020-10-02,111.59,107.82,1,-0.03378438928219385,0.5,score_mid,entry_score_fail
2020-10-05,2020-10-15,111.3,115.51,10,0.03782569631626265,1.0,score_high,strength_filter_fail
2020-12-24,2020-12-28,126.975,131.695,4,0.03717267178578454,1.0,score_high,rsi_breach
2020-12-29,2020-12-30,129.875,128.725,1,-0.008854667949951933,1.0,score_high,score_percentile_low
2021-01-26,2021-01-27,138.165,137.065,1,-0.007961495313574263,1.0,score_high,score_percentile_low
2021-04-13,2021-04-20,129.64,128.32,7,-0.010182042579450767,1.0,score_high,score_percentile_low
2021-06-29,2021-06-30,131.76,132.39,1,0.004781420765027189,0.5,score_mid,rsi_breach
2021-09-08,2021-09-10,150.76,144.62,2,-0.04072698328469082,1.0,score_high,factor_score_drop;macd_dead;stop_loss
2021-10-20,2021-11-01,144.91,144.61,12,-0.002070250500310289,1.0,score_high,strength_filter_fail
2022-02-01,2022-02-04,170.48,168.48,3,-0.011731581417175008,1.0,score_high,strength_filter_fail
2022-03-28,2022-04-06,171.69,167.92,9,-0.021958180441493447,1.0,score_high,score_percentile_low
2023-03-16,2023-04-03,152.86,163.18,18,0.06751275677090152,0.5,score_mid,rsi_breach
2023-04-04,2023-04-10,162.64,159.04,6,-0.02213477619281834,1.0,score_high,score_percentile_low
2023-05-05,2023-05-12,170.58,169.82,7,-0.004455387501465902,0.5,score_mid,entry_score_fail;score_percentile_low
2023-05-18,2023-05-22,172.3,171.45,4,-0.004933255948926352,1.0,score_high,macd_dead
2023-05-31,2023-06-01,174.5,177.34,1,0.016275071633237825,1.0,score_high,rsi_breach
2023-06-05,2023-06-06,176.83,176.46,1,-0.002092405134875297,0.5,score_mid,score_percentile_low
2023-08-31,2023-09-07,185.36,175.05,7,-0.05562149331031496,1.0,score_high,factor_score_drop;stop_loss
2023-11-10,2023-11-16,184.13,187.44,6,0.017976429696410223,1.0,score_high,rsi_breach
2024-01-19,2024-01-30,189.29,185.77,11,-0.018595805377991326,1.0,score_high,factor_score_drop
2024-05-13,2024-05-15,184.5,187.94,2,0.018644986449864343,0.5,score_mid,rsi_breach
2024-08-14,2024-08-20,220.19,224.98,6,0.02175393977928164,1.0,score_high,strength_filter_fail
2025-02-19,2025-02-26,244.09,239.58,7,-0.018476791347453725,1.0,score_high,score_percentile_low
2025-09-24,2025-09-25,252.05,256.61,1,0.018091648482444045,1.0,score_high,rsi_breach
2025-09-26,2025-10-02,255.2,256.87,6,0.006543887147335559,1.0,score_high,rsi_breach
2025-10-28,2025-10-30,268.74,271.14,2,0.008930564858227186,0.5,score_mid,rsi_breach
2025-11-28,2025-12-01,278.85,283.1,3,0.01524116908732287,1.0,score_high,rsi_breach
